Contrast,Dissimilarity,Homogeneity,Energy,Correlation,ASM,Label
[[0.07855866 0.1357875  0.09122415 0.14135715]],[[0.06003164 0.08793595 0.0587061  0.09353662]],[[0.97156619 0.95962419 0.97317133 0.95685639]],[[0.66351504 0.64958148 0.66602124 0.64606788]],[[0.95930195 0.92967909 0.95274003 0.92679483]],[[0.4402522 0.4219561 0.4435843 0.4174037]],nocorrosion
[[0.74287315 1.74707796 1.36985535 1.64654376]],[[0.31420169 0.49066153 0.40334053 0.46961481]],[[0.87913644 0.84067845 0.8652437  0.84671803]],[[0.43377344 0.42048722 0.42945381 0.42264651]],[[0.94692626 0.87558603 0.90214761 0.88274544]],[[0.1881594  0.1768095  0.18443057 0.17863008]],nocorrosion
[[1.54582138 2.60112632 2.72164026 3.30846687]],[[0.62613935 0.79407745 0.7987456  0.90783354]],[[0.76144244 0.72929189 0.73904209 0.70899831]],[[0.18090661 0.17277402 0.1765528  0.16639385]],[[0.95539041 0.92499252 0.92153027 0.90459335]],[[0.0327272  0.02985086 0.03117089 0.02768691]],nocorrosion
[[1.45771825 1.59837372 1.22496032 1.54609774]],[[0.73950397 0.81425383 0.69289683 0.80574378]],[[0.6960196  0.6653104  0.70379367 0.66564097]],[[0.20478868 0.19346121 0.20590883 0.1932764 ]],[[0.87396431 0.86171262 0.89440246 0.86621306]],[[0.0419384  0.03742724 0.04239844 0.03735577]],nocorrosion
[[2.36759603 2.94288923 3.62151848 6.43719419]],[[0.91835188 0.97116387 1.2353047  1.6957568 ]],[[0.65263429 0.65085585 0.57064381 0.48896354]],[[0.14352364 0.14302959 0.12753764 0.11361062]],[[0.93414711 0.91814718 0.89930987 0.82087652]],[[0.02059904 0.02045746 0.01626585 0.01290737]],nocorrosion
[[0.19833672 0.68619155 0.56447552 0.66545681]],[[0.1164094  0.33530521 0.30729271 0.34428892]],[[0.94836679 0.86044051 0.86807647 0.85447699]],[[0.28188852 0.24797673 0.2517903  0.24582175]],[[0.99239241 0.97371752 0.97832618 0.97452468]],[[0.07946114 0.06149246 0.06339836 0.06042833]],nocorrosion
[[1.28123136 3.28899734 2.91219853 3.49702982]],[[0.4198783  0.79516771 0.74891369 0.83034982]],[[0.85190436 0.76372347 0.77224212 0.75748228]],[[0.27243428 0.24821358 0.25076013 0.24586322]],[[0.98095286 0.95115717 0.95673311 0.94808686]],[[0.07422043 0.06160998 0.06288064 0.06044872]],nocorrosion
[[0.87390175 1.86460861 1.30566646 1.90090241]],[[0.3200219  0.53814765 0.4286796  0.53534064]],[[0.88010905 0.82762683 0.85403297 0.82988188]],[[0.6291204  0.62441265 0.63264607 0.6242665 ]],[[0.97122362 0.93865162 0.95700633 0.9374575 ]],[[0.39579247 0.38989115 0.40024105 0.38970867]],nocorrosion
[[0.85171898 2.34923527 2.01267538 2.50750721]],[[0.20195316 0.44845051 0.40836256 0.46598735]],[[0.9363594  0.87846696 0.88658067 0.87642459]],[[0.55070188 0.53729069 0.54374069 0.53707772]],[[0.97731222 0.93761991 0.94638709 0.9334173 ]],[[0.30327256 0.28868129 0.29565394 0.28845247]],nocorrosion
[[0.34649604 0.56653803 0.36750417 0.5853021 ]],[[0.26291806 0.37460921 0.27138402 0.36735243]],[[0.87634052 0.83021966 0.87320962 0.83542766]],[[0.21601977 0.19830625 0.21459436 0.20083649]],[[0.98796749 0.98032403 0.98723853 0.97967245]],[[0.04666454 0.03932537 0.04605074 0.04033529]],nocorrosion
[[1.30848861 2.78258866 1.77201638 2.53237828]],[[0.52249562 0.88112603 0.67128733 0.84289721]],[[0.80137544 0.70431115 0.75388908 0.70998707]],[[0.20976884 0.17884174 0.19114333 0.18042797]],[[0.94567908 0.88445895 0.92665544 0.89485576]],[[0.04400297 0.03198437 0.03653577 0.03255425]],nocorrosion
[[0.32469961 0.57768486 0.49954147 0.66411252]],[[0.20581682 0.39678697 0.35492424 0.39670695]],[[0.90715328 0.81756369 0.83547342 0.82308712]],[[0.26123232 0.22134628 0.22826433 0.22307306]],[[0.98628686 0.97567321 0.97895256 0.97202496]],[[0.06824232 0.04899418 0.05210461 0.04976159]],nocorrosion
[[0.06598968 0.13456249 0.12198098 0.14926622]],[[0.05764071 0.09939013 0.08852656 0.10290266]],[[0.97199337 0.95331046 0.95859488 0.95225988]],[[0.50780168 0.49448431 0.49779874 0.49543623]],[[0.9829547  0.96526601 0.96852851 0.96147197]],[[0.25786254 0.24451474 0.24780359 0.24545706]],nocorrosion
[[2.27865224 3.85831721 2.54906011 3.81755802]],[[0.90938405 1.22982969 1.00723726 1.23040608]],[[0.6558685  0.57915752 0.62104859 0.57584011]],[[0.16106335 0.14320952 0.15200956 0.14262491]],[[0.93780073 0.89455567 0.93036    0.8956652 ]],[[0.0259414  0.02050897 0.02310691 0.02034187]],nocorrosion
[[1.37343063 2.79869255 2.0398773  2.90204164]],[[0.50417833 0.77632505 0.5983199  0.7844916 ]],[[0.8105144  0.7473861  0.79943749 0.74852663]],[[0.26388977 0.25339455 0.26502262 0.25282684]],[[0.96478068 0.92816732 0.94773689 0.92554428]],[[0.06963781 0.0642088  0.07023699 0.06392141]],nocorrosion
[[0.08616304 0.21476088 0.14279181 0.18306889]],[[0.06403609 0.14147553 0.11045809 0.12846667]],[[0.97014907 0.93614229 0.9479611  0.94095471]],[[0.52955498 0.52376004 0.52581637 0.5242018 ]],[[0.99791488 0.99480421 0.99654512 0.9955709 ]],[[0.28042848 0.27432458 0.27648285 0.27478753]],nocorrosion
[[1.45019262 2.81152948 1.73338898 2.39121764]],[[0.47753551 0.6715904  0.51286698 0.61679513]],[[0.830928   0.79417531 0.82725058 0.80483666]],[[0.21593869 0.20513343 0.21501679 0.20777843]],[[0.97169092 0.94512514 0.96617052 0.95332985]],[[0.04662952 0.04207972 0.04623222 0.04317188]],nocorrosion
[[3.06505524 4.66762252 3.04987013 5.21252106]],[[0.9246141  1.31505174 0.99848152 1.24773402]],[[0.68993461 0.59033575 0.65817491 0.62912352]],[[0.17789542 0.15856084 0.17463432 0.16685489]],[[0.91110299 0.86400803 0.91118561 0.84812425]],[[0.03164678 0.02514154 0.03049715 0.02784055]],nocorrosion
[[0.08919672 0.19722546 0.16025911 0.16579665]],[[0.06956992 0.111566   0.09521355 0.10496321]],[[0.96710087 0.95099883 0.95790689 0.95260832]],[[0.36018723 0.35227904 0.35642108 0.35258205]],[[0.99649386 0.9922569  0.9937089  0.9934928 ]],[[0.12973484 0.12410052 0.12703599 0.1243141 ]],nocorrosion
[[0.52569158 0.49841665 0.49318774 1.20691455]],[[0.26152145 0.20186206 0.25485914 0.44187867]],[[0.88984522 0.91838302 0.89059956 0.83594901]],[[0.32241387 0.32720203 0.32293083 0.30977238]],[[0.98284514 0.98374681 0.98390985 0.96064333]],[[0.1039507  0.10706117 0.10428432 0.09595893]],nocorrosion
[[0.34409543 0.6110933  0.38593772 0.54415982]],[[0.12536871 0.17007933 0.13268861 0.17126023]],[[0.95270844 0.9401653  0.95000086 0.93717502]],[[0.35227258 0.34541665 0.3501742  0.34336647]],[[0.98181378 0.96773097 0.97961359 0.97126763]],[[0.12409597 0.11931266 0.12262197 0.11790053]],nocorrosion
[[0.33603689 0.79129603 0.37291178 0.30027529]],[[0.19647093 0.30604552 0.19106514 0.20340861]],[[0.91348246 0.87994366 0.91802302 0.90621442]],[[0.30687393 0.29066454 0.30851855 0.30120492]],[[0.97814261 0.94852577 0.97574174 0.98046694]],[[0.09417161 0.08448588 0.0951837  0.09072441]],nocorrosion
[[0.8863918  1.63153865 1.03300631 1.71336562]],[[0.32846016 0.48091253 0.35658004 0.50920668]],[[0.86443521 0.81826094 0.85888649 0.80776908]],[[0.23249679 0.21456823 0.22912137 0.21113202]],[[0.9660221  0.93735385 0.96029572 0.93420935]],[[0.05405476 0.04603953 0.0524966  0.04457673]],nocorrosion
[[1.48994519 3.66718049 2.80949059 3.680213  ]],[[0.52400598 0.97859946 0.81475207 0.98018097]],[[0.81184129 0.70573874 0.74054323 0.70552646]],[[0.32704236 0.30924974 0.31809913 0.30916084]],[[0.95552024 0.89079655 0.9161914  0.89041314]],[[0.10695671 0.0956354  0.10118705 0.09558042]],nocorrosion
[[1.17837235 3.33496886 2.92419162 3.45529009]],[[0.57939162 1.09448661 1.01660679 1.13065508]],[[0.76162363 0.62798979 0.6456103  0.61761697]],[[0.20078696 0.17164904 0.17608639 0.17003514]],[[0.9655496  0.90240963 0.91447491 0.8988416 ]],[[0.04031541 0.02946339 0.03100642 0.02891195]],nocorrosion
[[0.49665552 1.20898003 0.85670659 0.94356438]],[[0.34050008 0.57853524 0.44856287 0.4752969 ]],[[0.84392536 0.7623713  0.80908994 0.7991844 ]],[[0.25028883 0.22553422 0.24074461 0.23567153]],[[0.97217834 0.93229074 0.95207287 0.94714052]],[[0.0626445  0.05086568 0.05795797 0.05554107]],nocorrosion
[[4.2400381  7.02127599 5.277549   3.9623417 ]],[[1.04613333 1.18936201 1.07812857 0.92297252]],[[0.67622194 0.68680426 0.69115801 0.69884197]],[[0.16797084 0.17177576 0.17263504 0.17180087]],[[0.90538543 0.8424035  0.88153829 0.91109006]],[[0.0282142  0.02950691 0.02980286 0.02951554]],nocorrosion
[[0.82234476 1.33666707 0.74403345 1.32242841]],[[0.34248382 0.51552396 0.36617521 0.50642648]],[[0.86414384 0.80286781 0.84689479 0.80672518]],[[0.27888365 0.24985897 0.26698866 0.25242331]],[[0.95616536 0.92875639 0.96027997 0.92950086]],[[0.07777609 0.0624295  0.07128295 0.06371753]],nocorrosion
[[0.28678348 0.61024319 0.40338481 0.62036226]],[[0.18911556 0.33326926 0.25404424 0.33479663]],[[0.91466723 0.85845994 0.88735893 0.85864397]],[[0.33739737 0.32368583 0.33321396 0.32369179]],[[0.99205019 0.98306412 0.98881475 0.9827833 ]],[[0.11383699 0.10477252 0.11103155 0.10477638]],nocorrosion
[[1.94692626 3.46294739 2.73634242 3.71218672]],[[0.67522695 1.00866763 0.87516206 1.04355833]],[[0.75933293 0.67795924 0.70540485 0.67136866]],[[0.26589917 0.24498663 0.25048993 0.24413396]],[[0.9239353  0.86473383 0.89441377 0.85499968]],[[0.07070237 0.06001845 0.0627452  0.05960139]],nocorrosion
[[2.46306954 3.83519553 4.66540518 8.07833286]],[[0.66470823 0.88571601 0.87741535 1.17426952]],[[0.78434708 0.73936829 0.7666508  0.73714436]],[[0.29463975 0.2867074  0.2901477  0.28174448]],[[0.94991601 0.92208505 0.90523084 0.8358813 ]],[[0.08681258 0.08220113 0.08418569 0.07937995]],nocorrosion
[[1.65380007 3.03316321 2.38393653 3.14834079]],[[0.71269244 0.99818475 0.86501949 1.0142916 ]],[[0.72395376 0.65399131 0.68521104 0.65291298]],[[0.19606583 0.17523783 0.18354528 0.17493579]],[[0.91307679 0.84068303 0.87460618 0.83464293]],[[0.03844181 0.0307083  0.03368887 0.03060253]],nocorrosion
[[1.69013211 2.2290363  1.02989978 2.08272311]],[[0.51910165 0.62853344 0.42212138 0.61310212]],[[0.82124091 0.79218103 0.83507528 0.79323511]],[[0.29945931 0.28672172 0.30016618 0.28676552]],[[0.85782698 0.81253731 0.91337752 0.8248481 ]],[[0.08967588 0.08220934 0.09009974 0.08223446]],nocorrosion
[[1.01810773 1.87766723 1.57763802 2.01450491]],[[0.54937388 0.8183689  0.73546153 0.83976664]],[[0.76523649 0.67870777 0.70471922 0.6762732 ]],[[0.21929332 0.19243076 0.20055152 0.1905456 ]],[[0.94417558 0.89713444 0.91369343 0.8896255 ]],[[0.04808956 0.0370296  0.04022091 0.03630763]],nocorrosion
[[0.4841131  1.0827711  0.77469006 0.91069372]],[[0.22956338 0.35595571 0.29789879 0.3454242 ]],[[0.90489441 0.8672546  0.88370389 0.86523335]],[[0.2556326  0.24462002 0.25071522 0.24401371]],[[0.99112482 0.9801575  0.98580253 0.98330784]],[[0.06534803 0.05983895 0.06285812 0.05954269]],nocorrosion
[[1.55479071 2.68796481 1.45813838 2.41827269]],[[0.45555467 0.62291084 0.43832753 0.58108756]],[[0.85438078 0.82539016 0.85714492 0.83100562]],[[0.59262126 0.58364243 0.59329966 0.58355014]],[[0.90736849 0.84053007 0.91321135 0.85653111]],[[0.35119996 0.34063849 0.35200449 0.34053077]],nocorrosion
[[0.75325661 1.24818251 0.86336447 1.21878138]],[[0.41033325 0.61890991 0.50239062 0.60569547]],[[0.82543476 0.74631728 0.78196333 0.75138975]],[[0.30578767 0.28088897 0.28605965 0.28057855]],[[0.960792   0.93503382 0.95503094 0.93657166]],[[0.0935061  0.07889861 0.08183012 0.07872432]],nocorrosion
[[1.70125448 2.6655053  1.75426975 2.63234617]],[[0.54334926 0.75096614 0.58950519 0.74800264]],[[0.8104413  0.7560263  0.78974553 0.75587443]],[[0.29213878 0.27599598 0.28312546 0.27640181]],[[0.92885057 0.88829935 0.92644178 0.88970111]],[[0.08534507 0.07617378 0.08016003 0.07639796]],nocorrosion
[[0.70576475 1.85212979 1.55526403 1.63440305]],[[0.32654012 0.628217   0.57006601 0.59279079]],[[0.86731984 0.77385705 0.78825547 0.77897177]],[[0.2277696  0.19388911 0.19810642 0.19365234]],[[0.98495541 0.960485   0.96681828 0.96514541]],[[0.05187899 0.03759299 0.03924615 0.03750123]],nocorrosion
[[2.08280375 3.93452353 2.52379819 3.97511538]],[[0.69309395 1.07172164 0.78850595 1.08380988]],[[0.76019799 0.6714861  0.73605972 0.66926527]],[[0.26247967 0.24300506 0.25221282 0.24379933]],[[0.94641712 0.89884628 0.93511682 0.89779932]],[[0.06889558 0.05905146 0.06361131 0.05943811]],nocorrosion
[[0.14166667 0.59183673 0.43361111 0.39592634]],[[0.09801587 0.23947704 0.19666667 0.19439573]],[[0.95491341 0.90563129 0.91944324 0.91930751]],[[0.69015164 0.68004715 0.68273319 0.68141271]],[[0.99473382 0.9780439  0.98388638 0.98531357]],[[0.47630929 0.46246413 0.4661246  0.46432328]],nocorrosion
[[1.37728037 3.08215042 2.32746691 3.1252398 ]],[[0.56104021 0.96373746 0.79256985 0.95452453]],[[0.78113105 0.67163133 0.71952097 0.67624499]],[[0.18166604 0.15578501 0.17425644 0.15628572]],[[0.96734547 0.92693167 0.94481173 0.92591423]],[[0.03300255 0.02426897 0.03036531 0.02442523]],nocorrosion
[[0.5114437  0.7811631  0.48214428 0.82993578]],[[0.16068941 0.2257787  0.17783978 0.23782183]],[[0.94431454 0.92334729 0.93348431 0.9198574 ]],[[0.52894453 0.51708207 0.51956237 0.51623101]],[[0.98248214 0.97332802 0.98349248 0.97166273]],[[0.27978231 0.26737387 0.26994506 0.26649445]],nocorrosion
[[0.64268545 0.87853277 0.67432392 0.90006661]],[[0.49913267 0.60902809 0.51030747 0.61518036]],[[0.7644779  0.7215272  0.76089613 0.71985961]],[[0.20589309 0.19282025 0.20517544 0.19265531]],[[0.96683829 0.95467461 0.96521334 0.95356362]],[[0.04239196 0.03717965 0.04209696 0.03711607]],nocorrosion
[[5.14401921 7.82450186 4.695287   7.80251967]],[[1.49550622 1.8413928  1.41859725 1.85870303]],[[0.5231937  0.47330834 0.53564298 0.46949179]],[[0.11023481 0.10134226 0.11312602 0.10108842]],[[0.87164974 0.80461694 0.88273774 0.80516796]],[[0.01215171 0.01027025 0.0127975  0.01021887]],nocorrosion
[[0.65440587 1.0928934  0.748334   1.24282477]],[[0.29407477 0.42594134 0.33321576 0.45355063]],[[0.8829218  0.84101194 0.86787149 0.83566072]],[[0.30132511 0.28689889 0.29433493 0.28610608]],[[0.96155897 0.93585962 0.95607646 0.92706451]],[[0.09079682 0.08231097 0.08663305 0.08185669]],nocorrosion
[[1.18293823 2.26572274 1.24247703 1.54159606]],[[0.58087646 0.86018887 0.62264411 0.70672926]],[[0.76173953 0.68188389 0.74422791 0.71784751]],[[0.18826242 0.16526979 0.183583   0.17586972]],[[0.948173   0.90073379 0.94557179 0.93246014]],[[0.03544274 0.0273141  0.03370272 0.03093016]],nocorrosion
[[0.12215539 0.23432357 0.16013747 0.22073505]],[[0.08982076 0.13492085 0.10020231 0.1313227 ]],[[0.95811532 0.94114547 0.95524955 0.94216267]],[[0.30409544 0.29615444 0.30268581 0.29674099]],[[0.99275317 0.98609497 0.99049599 0.98690125]],[[0.09247404 0.08770746 0.0916187  0.08805522]],nocorrosion
[[0.75002017 1.10913715 0.65149249 1.0529345 ]],[[0.42476977 0.54855055 0.40791592 0.53674547]],[[0.81586829 0.7726629  0.81817419 0.77557591]],[[0.20105265 0.18714341 0.20155072 0.18791089]],[[0.98178108 0.973064   0.98417871 0.97442944]],[[0.04042217 0.03502266 0.04062269 0.0353105 ]],nocorrosion
[[0.24603175 0.42805325 0.24777778 0.44116709]],[[0.10944444 0.17940848 0.12694444 0.1823581 ]],[[0.95650777 0.93034872 0.94633032 0.92922275]],[[0.61247208 0.60377663 0.61129991 0.60386605]],[[0.98807182 0.97928504 0.98798717 0.97865042]],[[0.37512205 0.36454621 0.37368758 0.3646542 ]],nocorrosion
[[0.21940216 0.38558766 0.22209441 0.34436997]],[[0.15709261 0.2505309  0.17381021 0.23133431]],[[0.92709395 0.88634435 0.91753807 0.89411909]],[[0.27114353 0.2583982  0.26713702 0.26024438]],[[0.99518687 0.99154013 0.99512715 0.99244443]],[[0.07351881 0.06676963 0.07136219 0.06772714]],nocorrosion
[[0.41510571 0.84827246 0.46066252 0.7351463 ]],[[0.19387659 0.33716731 0.23946186 0.31615681]],[[0.92183832 0.8722247  0.89982316 0.87675626]],[[0.29433483 0.2783955  0.28715377 0.27958196]],[[0.98908145 0.97769879 0.9878886  0.98067283]],[[0.08663299 0.07750405 0.08245729 0.07816607]],nocorrosion
[[0.41354341 2.40304898 2.19760766 2.23517526]],[[0.29131853 0.8125     0.76439394 0.79279369]],[[0.86415418 0.70948682 0.72415499 0.71157644]],[[0.25851678 0.20207054 0.2063171  0.20182179]],[[0.97047874 0.82839632 0.84349825 0.84030756]],[[0.06683093 0.0408325  0.04256674 0.04073203]],nocorrosion
[[1.39517126 2.38253661 1.46725753 2.35101131]],[[0.46001671 0.65891317 0.48050167 0.65746306]],[[0.83848326 0.78829225 0.83121073 0.78836131]],[[0.26054278 0.24562097 0.25739117 0.24604481]],[[0.96313055 0.93704947 0.96122943 0.93788449]],[[0.06788254 0.06032966 0.06625021 0.06053805]],nocorrosion
[[2.14953532 4.69866447 3.16745255 4.47964627]],[[0.49678912 0.97940563 0.76365634 0.93548969]],[[0.84691374 0.72721014 0.76865407 0.7367914 ]],[[0.30914859 0.28469523 0.29472836 0.28614851]],[[0.97196109 0.93854978 0.95866122 0.94141416]],[[0.09557285 0.08105138 0.08686481 0.08188097]],nocorrosion
[[0.30972258 0.51923368 0.34499603 0.55074929]],[[0.21253851 0.27391725 0.25980922 0.3632672 ]],[[0.90304592 0.88453555 0.87836349 0.83585695]],[[0.27014909 0.26432075 0.26303693 0.24917351]],[[0.99138159 0.98554779 0.99039613 0.9846693 ]],[[0.07298053 0.06986546 0.06918843 0.06208744]],nocorrosion
[[0.07406195 0.11247844 0.05642318 0.10063776]],[[0.0542837  0.07572002 0.0453774  0.07162335]],[[0.97474544 0.96539731 0.97825669 0.96680835]],[[0.49928401 0.49696244 0.50129004 0.49725265]],[[0.99702945 0.99548537 0.99773692 0.99595983]],[[0.24928452 0.24697166 0.2512917  0.2472602 ]],nocorrosion
[[0.59749152 0.89096833 0.57715044 1.0621674 ]],[[0.39566931 0.52035792 0.39085742 0.56139467]],[[0.82040509 0.77190276 0.82159936 0.76180106]],[[0.22150181 0.20192145 0.2211426  0.20243967]],[[0.97679559 0.9654131  0.97759224 0.95876691]],[[0.04906305 0.04077227 0.04890405 0.04098182]],nocorrosion
[[1.85028029 2.27819066 1.29974766 2.98632146]],[[0.52556506 0.73201302 0.52713691 0.73368015]],[[0.82158899 0.73338965 0.79009151 0.7601888 ]],[[0.20446997 0.17676341 0.1930453  0.1838025 ]],[[0.9441772  0.93129458 0.96085304 0.90993562]],[[0.04180797 0.0312453  0.03726649 0.03378336]],nocorrosion
[[0.70203344 1.20263437 0.69940619 1.08924467]],[[0.32596608 0.53524815 0.41453451 0.50864464]],[[0.86327149 0.77859082 0.81585593 0.78853093]],[[0.26970872 0.23588321 0.25220056 0.23888945]],[[0.97474654 0.95685859 0.97496225 0.96083887]],[[0.07274279 0.05564089 0.06360512 0.05706817]],nocorrosion
[[0.5969941  1.11884237 0.92022489 1.04192758]],[[0.40324208 0.58709921 0.52730478 0.57822049]],[[0.81677306 0.75424604 0.77273137 0.75370261]],[[0.20387566 0.18421872 0.18969922 0.1839016 ]],[[0.97372149 0.95059755 0.95936847 0.95399391]],[[0.04156528 0.03393653 0.03598579 0.0338198 ]],nocorrosion
[[1.37392616 1.58084095 1.1932171  1.32458172]],[[0.75713747 0.80549455 0.6814744  0.76222897]],[[0.68054226 0.66413437 0.70534375 0.67251092]],[[0.17003803 0.16477774 0.17448222 0.16704224]],[[0.94913383 0.94158806 0.95593424 0.9510846 ]],[[0.02891293 0.0271517  0.03044405 0.02790311]],nocorrosion
[[0.51244859 0.92161009 0.5021808  0.75452679]],[[0.21206179 0.30367565 0.19617846 0.28323058]],[[0.91502534 0.88754522 0.92315799 0.89031318]],[[0.2540916  0.2425422  0.25889698 0.24350707]],[[0.98457087 0.97223886 0.98488092 0.97728008]],[[0.06456254 0.05882672 0.06702765 0.05929569]],nocorrosion
[[1.08694169 1.43004084 0.52106542 1.41584043]],[[0.50610204 0.59463826 0.33435138 0.58868174]],[[0.79811494 0.77299701 0.85069855 0.77296431]],[[0.19551806 0.18626236 0.20637722 0.18652335]],[[0.97056674 0.96124956 0.98588595 0.96163447]],[[0.03822731 0.03469367 0.04259156 0.03479096]],nocorrosion
[[0.09853645 0.25765814 0.18447412 0.19067951]],[[0.08259321 0.14728499 0.11657206 0.12820477]],[[0.96023237 0.93557581 0.94761069 0.94163617]],[[0.71192709 0.70714701 0.70862647 0.70792661]],[[0.99636214 0.99049643 0.99319143 0.99296708]],[[0.50684018 0.50005689 0.50215148 0.50116008]],nocorrosion
[[3.03366326 5.13328333 3.24672465 4.99690979]],[[0.95132777 1.30195886 1.00308552 1.28187943]],[[0.67404063 0.60917544 0.66243229 0.61187056]],[[0.20833341 0.19252631 0.20384083 0.19379708]],[[0.90297909 0.83595348 0.89626837 0.84031963]],[[0.04340281 0.03706638 0.04155108 0.03755731]],nocorrosion
[[1.38623796 2.18658426 1.24646617 2.26098648]],[[0.58999406 0.80676268 0.58217575 0.81994646]],[[0.76444282 0.6995124  0.76243313 0.69636087]],[[0.21346331 0.19028286 0.20922511 0.18982111]],[[0.94308935 0.91030415 0.94887536 0.9072534 ]],[[0.04556658 0.03620757 0.04377515 0.03603205]],nocorrosion
[[1.99948664 2.78361597 2.01442774 3.28940046]],[[0.72627295 0.95839348 0.83298246 1.05820478]],[[0.73697628 0.66243384 0.684182   0.64185247]],[[0.18055272 0.15443909 0.15863335 0.15076374]],[[0.93376537 0.90790663 0.93337034 0.89117637]],[[0.03259928 0.02385143 0.02516454 0.0227297 ]],nocorrosion
[[1.0508671  3.3396594  3.34218897 4.2260915 ]],[[0.45101095 0.93077479 0.91659832 1.0530586 ]],[[0.82153841 0.69295895 0.69952083 0.67609306]],[[0.21460707 0.17634134 0.17825239 0.17287044]],[[0.96197412 0.87912353 0.8788738  0.84704659]],[[0.0460562  0.03109627 0.03177392 0.02988419]],nocorrosion
[[0.85848538 1.3222555  0.75389844 1.32974855]],[[0.35632445 0.46172608 0.33808858 0.46510894]],[[0.86189743 0.83449003 0.8651907  0.83345134]],[[0.52543553 0.52261275 0.52540179 0.52259716]],[[0.98370186 0.97490686 0.98568752 0.97476466]],[[0.2760825  0.27312409 0.27604704 0.27310779]],nocorrosion
[[1.25253748 2.04832865 1.2023229  2.23949467]],[[0.4315875  0.65855886 0.50742641 0.70131761]],[[0.84234719 0.76778844 0.80074214 0.75819292]],[[0.23385583 0.21615251 0.22471868 0.21466263]],[[0.97474336 0.95872232 0.97576963 0.95487103]],[[0.05468855 0.04672191 0.05049849 0.04608004]],nocorrosion
[[0.61917658 1.21142273 0.74452271 1.19660532]],[[0.26469803 0.43834381 0.27218906 0.43701533]],[[0.89312453 0.83146092 0.89387945 0.83142776]],[[0.38638062 0.35560773 0.38860118 0.35518433]],[[0.98008426 0.96094027 0.97599452 0.96141812]],[[0.14928998 0.12645686 0.15101087 0.12615591]],nocorrosion
[[0.66032276 0.71878284 0.693734   0.88886597]],[[0.21945465 0.23673847 0.22450751 0.24769719]],[[0.92500086 0.9192925  0.92432557 0.92116621]],[[0.79878187 0.79686488 0.79889232 0.79753046]],[[0.95948171 0.9559552  0.95743155 0.94553303]],[[0.63805247 0.63499364 0.63822894 0.63605484]],nocorrosion
[[2.67943339 4.37761578 3.55832516 5.89464594]],[[0.84869735 1.13340965 1.05287375 1.41486926]],[[0.70677545 0.64726563 0.66081567 0.59896616]],[[0.18402804 0.1687492  0.17502392 0.15818952]],[[0.91706168 0.86443922 0.88977713 0.8174449 ]],[[0.03386632 0.02847629 0.03063337 0.02502392]],nocorrosion
[[0.65263773 1.78996322 1.80398079 2.47053778]],[[0.33161937 0.58342434 0.59992063 0.74263706]],[[0.8624306  0.79417327 0.78964491 0.75645639]],[[0.21962788 0.19817173 0.19769839 0.18926883]],[[0.98511355 0.9591456  0.95882552 0.94361371]],[[0.04823641 0.03927203 0.03908465 0.03582269]],nocorrosion
[[0.07704781 0.14104732 0.08115439 0.1015895 ]],[[0.06202949 0.08619998 0.0622882  0.07624244]],[[0.97046215 0.96187032 0.97069031 0.96433973]],[[0.80829351 0.80736668 0.80803606 0.80703953]],[[0.99359882 0.98829289 0.99326046 0.99156794]],[[0.6533384  0.65184096 0.65292228 0.6513128 ]],nocorrosion
[[0.24431242 0.43032126 0.3480481  0.38581837]],[[0.19607744 0.24855318 0.22780227 0.26536919]],[[0.90643846 0.88829266 0.89550022 0.8774823 ]],[[0.40717589 0.40252556 0.40389659 0.39559323]],[[0.99112961 0.98438263 0.98737153 0.98599372]],[[0.1657922  0.16202683 0.16313246 0.156494  ]],nocorrosion
[[0.31439977 0.60536928 0.35689092 0.59771514]],[[0.16017788 0.26729725 0.17997009 0.26639131]],[[0.93226232 0.89292948 0.92411807 0.8928858 ]],[[0.30683231 0.29324819 0.30353498 0.293254  ]],[[0.99166672 0.98395438 0.99054071 0.98415643]],[[0.09414607 0.0859945  0.09213348 0.08599791]],nocorrosion
[[4.24002039 5.6815806  3.35289584 5.74250199]],[[1.32004757 1.56632404 1.15170613 1.57050227]],[[0.56553829 0.51915119 0.59929166 0.51876905]],[[0.12544497 0.11704914 0.13177627 0.11694933]],[[0.87773568 0.83597486 0.90319754 0.83421615]],[[0.01573644 0.0137005  0.01736499 0.01367715]],nocorrosion
[[0.84583831 1.5051693  1.16580456 1.78046484]],[[0.3919554  0.58351032 0.44666573 0.63584452]],[[0.83971839 0.78076289 0.83441061 0.76927659]],[[0.29919222 0.28379759 0.31569564 0.28131609]],[[0.97379417 0.95338902 0.96392429 0.9449012 ]],[[0.08951599 0.08054107 0.09966374 0.07913874]],nocorrosion
[[1.80478971 2.56136662 1.73270033 2.91180121]],[[0.49114355 0.60508216 0.48829299 0.62963124]],[[0.84916258 0.82657327 0.84565128 0.82957192]],[[0.58286901 0.57894623 0.58069783 0.57956138]],[[0.96396253 0.9489027  0.96541399 0.9419118 ]],[[0.33973629 0.33517873 0.33720996 0.33589139]],nocorrosion
[[1.14495383 1.80225    1.07270502 1.73210127]],[[0.56174044 0.72119385 0.52381172 0.7073051 ]],[[0.76955043 0.72572983 0.78513287 0.72853772]],[[0.19984462 0.18563622 0.20516182 0.18709256]],[[0.94736592 0.91704806 0.95061066 0.92027722]],[[0.03993787 0.03446081 0.04209137 0.03500363]],nocorrosion
