Contrast,Dissimilarity,Homogeneity,Energy,Correlation,ASM,Label
[[1.37257088 2.09192502 1.31952179 2.06733157]],[[0.5831475  0.76063446 0.58559368 0.75923256]],[[0.77143497 0.71725769 0.76638115 0.71733487]],[[0.46588787 0.4352365  0.46244991 0.43532433]],[[0.94901101 0.92263487 0.95107288 0.9235449 ]],[[0.21705151 0.18943081 0.21385992 0.18950727]],corrosion
[[0.05086456 0.08260008 0.049627   0.08244989]],[[0.04870765 0.07909431 0.04911029 0.07943733]],[[0.97585286 0.96077261 0.97549569 0.96057598]],[[0.3785237  0.36946191 0.3783531  0.36911376]],[[0.99837866 0.99736651 0.99841797 0.99737149]],[[0.14328019 0.1365021  0.14315107 0.13624497]],corrosion
[[1.24227236 1.83377107 1.51286312 1.96953863]],[[0.54212287 0.68282604 0.61992004 0.70318104]],[[0.78491968 0.7478275  0.76381599 0.74444708]],[[0.35042932 0.33696263 0.34603653 0.33678703]],[[0.97518553 0.96336554 0.96977843 0.96065353]],[[0.12280071 0.11354381 0.11974128 0.1134255 ]],corrosion
[[2.72714058 3.36323553 2.00669331 4.16977313]],[[0.81499403 0.88536155 0.67874126 1.03012266]],[[0.7229679  0.71182962 0.75725126 0.67881909]],[[0.23532815 0.23024736 0.24382093 0.22279522]],[[0.94207975 0.92847054 0.95728316 0.91130263]],[[0.05537934 0.05301385 0.05944865 0.04963771]],corrosion
[[0.87808679 1.41579307 0.91415768 1.36472266]],[[0.52964916 0.70534603 0.54318123 0.70171105]],[[0.76756382 0.70953395 0.76220555 0.70880661]],[[0.17893794 0.16316813 0.17655627 0.16293131]],[[0.97735462 0.96348452 0.97657839 0.96479714]],[[0.03201879 0.02662384 0.03117212 0.02654661]],corrosion
[[1.21649485 2.3057999  2.07143857 2.8333735 ]],[[0.46655478 0.76119613 0.68567828 0.82823232]],[[0.82293892 0.73363985 0.75580456 0.72454891]],[[0.27483198 0.25666433 0.262093   0.25471997]],[[0.9626967  0.92941887 0.93654489 0.91324182]],[[0.07553262 0.06587658 0.06869274 0.06488227]],corrosion
[[0.7807294  1.32376184 0.76501945 1.25938568]],[[0.30802345 0.45291951 0.3339186  0.44291106]],[[0.87853381 0.83093826 0.8653669  0.83346655]],[[0.24341083 0.22870734 0.24190514 0.23005404]],[[0.98149415 0.96863597 0.9818745  0.97016184]],[[0.05924883 0.05230705 0.05851809 0.05292486]],corrosion
[[0.44507075 1.08517629 0.89950093 1.29952722]],[[0.2829042  0.41799013 0.35119545 0.4760498 ]],[[0.87368789 0.83522208 0.85869745 0.81945639]],[[0.33725904 0.3273333  0.3312897  0.3248111 ]],[[0.98983174 0.97516992 0.97941876 0.97026513]],[[0.11374366 0.10714709 0.10975287 0.10550225]],corrosion
[[1.7987881  2.9138495  2.36936862 3.01289033]],[[0.83971722 1.01990215 0.89307049 1.04801393]],[[0.65330759 0.61352841 0.65024914 0.60603875]],[[0.17000162 0.16255088 0.17204336 0.1595059 ]],[[0.92405618 0.87573919 0.89894671 0.87148884]],[[0.02890055 0.02642279 0.02959892 0.02544213]],corrosion
[[1.17190362 2.55607617 1.97420192 2.55333293]],[[0.62510952 1.02883402 0.87711492 1.02488937]],[[0.73520886 0.61475756 0.6576685  0.61689806]],[[0.18083391 0.15045165 0.15954807 0.15058615]],[[0.96040006 0.91345679 0.93323091 0.91359973]],[[0.0327009  0.0226357  0.02545559 0.02267619]],corrosion
[[0.63292806 1.3421465  0.90360602 1.10553154]],[[0.43875764 0.67760762 0.52644535 0.61925962]],[[0.79906732 0.71740684 0.76971159 0.73339713]],[[0.20657033 0.18072558 0.19588123 0.18582878]],[[0.98609942 0.97052322 0.98015482 0.97572031]],[[0.0426713  0.03266174 0.03836946 0.03453233]],corrosion
[[1.2951418  4.48832919 4.00161838 4.51694473]],[[0.50698018 1.05314029 0.97608392 1.05993824]],[[0.8068102  0.68764441 0.70269513 0.68681478]],[[0.28276358 0.24929821 0.251876   0.24705144]],[[0.95238413 0.83518    0.85286898 0.83414285]],[[0.07995524 0.0621496  0.06344152 0.06103441]],corrosion
[[0.74494714 1.28699207 1.03722333 1.45660743]],[[0.46019626 0.65501544 0.56875667 0.69060993]],[[0.79597183 0.72799945 0.75765576 0.72017166]],[[0.18391901 0.16456531 0.17335753 0.16300779]],[[0.97680557 0.95999715 0.967773   0.95472786]],[[0.0338262  0.02708174 0.03005283 0.02657154]],corrosion
[[0.86100494 2.88824836 2.64105939 2.97509958]],[[0.49936296 0.97648071 0.90020342 0.98654897]],[[0.78236897 0.65088092 0.67704452 0.65056708]],[[0.23555952 0.20286753 0.21267985 0.20348502]],[[0.97666101 0.92184827 0.92849501 0.91951709]],[[0.05548829 0.04115523 0.04523272 0.04140615]],corrosion
[[0.27213798 0.48244637 0.32343745 0.45706215]],[[0.19928935 0.31490902 0.23576782 0.28875154]],[[0.90722013 0.8577378  0.89027038 0.87071767]],[[0.31886071 0.30125064 0.31239044 0.3066623 ]],[[0.98565872 0.97456403 0.98294603 0.97590382]],[[0.10167215 0.09075195 0.09758778 0.09404177]],corrosion
[[1.00033933 1.5308386  0.80783597 1.58460486]],[[0.50711591 0.65234108 0.35073098 0.67861025]],[[0.78825729 0.74458232 0.86168948 0.73366675]],[[0.21906726 0.20598325 0.25392223 0.20183741]],[[0.93371404 0.89785342 0.94631886 0.89448386]],[[0.04799046 0.0424291  0.0644765  0.04073834]],corrosion
[[2.21453187 3.38141747 2.3070227  3.37856414]],[[0.85625626 1.08177737 0.8634713  1.097629  ]],[[0.67941543 0.62917626 0.68085246 0.62229964]],[[0.1620561  0.14956199 0.16217322 0.14771226]],[[0.90297163 0.85184594 0.89890815 0.85197089]],[[0.02626218 0.02236879 0.02630015 0.02181891]],corrosion
[[1.08058688 2.31475288 1.48732323 1.71365832]],[[0.72768525 1.13452248 0.88442761 0.95517043]],[[0.67078248 0.54386145 0.61623246 0.59520944]],[[0.18357213 0.15326559 0.16970978 0.16454318]],[[0.90291627 0.79196502 0.86622896 0.84599756]],[[0.03369873 0.02349034 0.02880141 0.02707446]],corrosion
[[2.53275138 3.04618052 1.75197159 4.01923768]],[[0.79365452 0.87189661 0.64218981 1.03085436]],[[0.731035   0.7102282  0.76181061 0.68252139]],[[0.23256803 0.21583312 0.22987842 0.21165816]],[[0.94302723 0.93152452 0.96062596 0.90964598]],[[0.05408789 0.04658394 0.05284409 0.04479917]],corrosion
[[0.28203942 0.4724129  0.32031465 0.42581963]],[[0.22635434 0.32758565 0.24931926 0.3114104 ]],[[0.89220387 0.84968656 0.88213497 0.85510139]],[[0.30190415 0.27844455 0.29616764 0.2810696 ]],[[0.96355527 0.93895257 0.95861226 0.94497361]],[[0.09114612 0.07753137 0.08771527 0.07900012]],corrosion
[[0.54256505 0.85524564 0.67177177 1.19474429]],[[0.30978055 0.42725608 0.33160961 0.4845927 ]],[[0.86525201 0.82093376 0.8616318  0.80999927]],[[0.21597121 0.20002783 0.21563764 0.19736583]],[[0.98098888 0.97001913 0.97646374 0.95812563]],[[0.04664357 0.04001113 0.04649959 0.03895327]],corrosion
